,Burgers,Calories,Total Fat,Sat Fat,Trans Fat,Chol.,Sodium,Total Carb,Fiber,Sugars,Protein
0,Single ShackBurger®,530,34.0,14.0,1.0,115,1260,26,0,6,29
1,Double ShackBurger®,790,52.0,23.0,2.0,195,2280,27,0,6,51
2,Single Hamburger,400,22.0,10.0,1.0,85,850,24,0,5,25
3,Double Hamburger,590,34.0,15.0,1.5,150,1540,24,0,5,44
4,Single Cheeseburger,470,28.0,14.0,1.0,105,1200,25,0,5,29
5,Double Cheeseburger,730,46.0,22.0,2.0,185,2220,25,0,5,51
6,‘Shroom Burger,550,31.0,12.0,0.5,55,670,49,0,7,18
7,Shack Stack®,800,49.0,21.0,1.5,140,1700,50,0,7,40
8,Single SmokeShackTM,610,39.0,16.0,1.0,130,2010,28,0,7,36
9,Double SmokeShackTM,870,57.0,24.0,2.0,210,3030,28,0,7,58
10,Roadside Double Burger*,770,46.0,20.0,2.0,175,2300,32,0,7,53
11,Lockhart Link Burger*,810,60.0,24.0,1.0,165,2050,27,2,5,39
12,"Lockhart Link Burger, Double*",1070,78.0,32.0,2.0,245,3080,28,2,6,61
13,"Lockhart Link Burger, Triple*",1330,96.0,40.0,3.0,330,4110,29,2,6,83
14,Link Burger*,720,51.0,20.0,1.0,155,2000,29,2,6,37
15,"Link Burger, Double*",980,69.0,29.0,2.0,235,3020,29,2,7,59
16,"Link Burger, Triple*",1240,87.0,37.0,3.0,315,4050,30,2,7,81
17,"Green Chile CheddarShack, Single*",510,30.0,15.0,1.0,110,1380,28,1,6,30
18,"Green Chile CheddarShack, Double*",780,50.0,24.0,1.5,195,2190,28,1,6,54
19,Mound City Double*,810,52.0,22.0,1.5,195,2380,26,0,6,56
20,"Crackle Shack, Single*",580,37.0,15.0,1.0,120,1400,25,0,5,34
21,"Crackle Shack, Double*",770,49.0,20.0,2.0,185,2080,25,0,5,53
22,Montlake Double Cut*,940,64.0,29.0,1.5,230,2470,36,0,5,54
23,Golden State Double*,960,65.0,27.0,2.0,235,2200,41,0,9,52
24,"Bacon Cheeseburger, single",540,33.0,15.0,1.0,120,1480,25,0,5,35
25,"Bacon Cheeseburger, double",800,51.0,24.0,2.0,200,2510,25,0,6,58
26,Veggie Shack*,530,27.0,7.0,0.0,20,1250,56,6,10,16
27,"Veggie Shack, vegan, lettuce wrap*",310,18.0,1.5,0.0,0,900,31,4,6,4
28,"Veggie Shack, vegan*",390,22.0,1.5,0.0,0,1130,50,6,8,6
29,Grilled Cheese,350,22.0,13.0,0.5,55,850,25,0,5,14
30,Martin's Potato Roll,210,10.0,6.0,0.0,20,170,24,0,5,7
31,Gluten Free Bun,160,3.0,0.0,0.0,0,350,31,2,5,3
32,Lettuce Wrap,5,0.0,0.0,0.0,0,15,1,1,0,1
33,Burger Patty,190,12.0,4.5,0.5,65,690,0,0,0,19
34,American Cheese,70,6.0,3.5,0.0,15,340,1,0,0,4
35,ShackSauce,60,6.0,1.0,0.0,10,60,0,0,0,0
36,Lettuce,1,0.0,0.0,0.0,0,0,0,0,0,0
37,Tomato,5,0.0,0.0,0.0,0,0,1,0,0,0
38,Pickle,1,0.0,0.0,0.0,0,140,0,0,0,0
39,Onion,5,0.0,0.0,0.0,0,0,1,0,0,0
40,Bacon (2 Slices),70,4.5,1.5,0.0,15,290,0,0,0,6
41,Cherry Peppers,10,0.0,0.0,0.0,0,470,2,0,2,0
42,Chick'n ShackTM,590,36.0,10.0,0.0,120,1170,34,0,6,33
43,Hot Chick'N,560,31.0,9.0,0.0,115,1220,38,1,8,33
44,Chick'n Bites (6 piece)*,300,19.0,3.5,0.0,50,780,15,0,1,17
45,Chick'n Bites (10 piece)*,510,32.0,6.0,0.0,85,1300,26,0,2,29
46,Herb Mayonnaise,90,10.0,0.5,0.0,10,140,0,0,0,0
47,BBQ Sauce*,70,0.0,0.0,0.0,0,380,16,0,14,1
48,Honey Mustard*,180,19.0,2.5,0.0,15,230,4,0,4,1
49,Bacon Breakfast Sandwich*,440,27.0,13.0,0.5,240,890,25,0,5,23
50,Bacon Breakfast Sandwich (Double Egg)*,530,34.0,15.0,0.5,425,990,26,0,6,29
51,Sausage Breakfast Sandwich*,560,37.0,16.0,0.5,270,1220,28,0,8,30
52,Sausage Breakfast Sandwich (Double Egg)*,650,43.0,18.0,0.5,455,1310,28,0,8,36
53,Egg and Cheese Breakfast Sandwich*,370,23.0,11.0,0.5,225,610,25,0,5,17
54,Hot Dog,390,26.0,12.0,0.0,60,800,25,0,6,16
55,Chicken Dog,310,13.0,6.0,0.0,85,930,27,0,8,24
56,Shack-cago Dog®,410,26.0,12.0,0.5,60,1500,29,0,9,17
57,Chicken Shack-cago Dog®,330,13.0,6.0,0.5,85,1630,31,0,10,24
58,Sausage Link*,240,20.0,7.0,0.0,40,682,2,0,0,9
59,Publican Pork Sausage*,560,47.0,16.0,0.0,73,1188,14,1,1,13
60,Garden Dog*,220,10.0,6.0,0.5,20,1020,28,1,8,8
61,Add Cheese Sauce,80,7.0,5.0,0.0,30,95,1,0,0,2
62,Add Rick’s Picks Shack Relish,5,0.0,0.0,0.0,0,15,1,0,1,0
63,Regular Fries,470,22.0,4.5,0.0,15,740,63,7,1,6
64,Cheese Fries,710,44.0,19.0,0.0,95,1020,64,7,1,12
65,Bacon Cheese Fries,840,52.0,21.0,0.0,125,1570,65,7,1,24
66,Double Down Fries*,1910,117.0,49.0,1.0,270,4020,164,16,5,41
67,Big Bob's Cheese Fries*,800,46.0,19.0,0.0,115,1020,92,7,11,17
68,Vanilla Shake,680,36.0,22.0,0.0,235,430,72,0,71,18
69,Vanilla Shake (12oz),500,27.0,16.0,0.0,175,320,53,0,52,13
70,Chocolate Shake,750,45.0,27.0,1.5,255,310,76,0,69,16
71,Chocolate Shake (12oz),550,33.0,20.0,1.0,190,220,56,0,51,12
72,Salted Caramel Shake,840,42.0,26.0,0.0,260,950,99,0,96,17
73,Salted Caramel Shake (12oz),630,32.0,20.0,0.0,195,720,74,0,72,13
74,Black & White Shake,770,42.0,26.0,0.0,245,460,80,0,76,19
75,Black & White Shake (12oz),580,32.0,19.0,0.0,180,350,60,0,58,14
76,Strawberry Shake,690,35.0,21.0,0.0,230,430,77,0,75,17
77,Strawberry Shake (12oz),520,27.0,16.0,0.0,175,320,58,0,56,13
78,Cookies & Cream Shake,850,44.0,24.0,0.0,235,580,98,0,86,19
79,Cookies & Cream Shake (12oz),630,33.0,18.0,0.0,175,430,73,0,64,15
80,Coffee Shake,680,35.0,22.0,0.0,235,420,74,0,70,18
81,Coffee Shake (12oz),510,27.0,16.0,0.0,175,320,56,0,52,14
82,Peachtree Shake*,770,38.0,23.0,0.0,240,670,95,0,91,16
83,Traffic JAM Shake*,790,35.0,21.0,0.0,230,410,106,0,102,17
84,Bourbon Salted Caramel Shake*,890,44.0,27.0,0.0,260,700,89,0,87,18
85,Loaded Chocolate Cookies & Cream Shake*,1160,56.0,32.0,1.5,265,450,126,0,108,17
86,TKO' Clock Chocolate Cookies & Cream Shake*,1020,59.0,33.0,1.5,270,500,112,0,92,19
87,Bananas Foster Shake*,850,42.0,26.0,0.0,255,940,107,0,103,16
88,Whipped Cream,70,5.0,3.5,0.0,20,20,5,0,4,1
89,Root Beer Float,430,15.0,9.0,0.0,100,220,70,0,69,7
90,Purple Cow Float,460,15.0,9.0,0.0,100,210,79,0,78,7
91,Creamsicle® Float,440,15.0,9.0,0.0,100,240,75,0,74,7
92,Single Chocolate Cup,310,19.0,11.0,0.5,110,120,32,0,29,6
93,Double Chocolate Cup,490,30.0,18.0,1.0,175,190,51,0,47,9
94,Single Vanilla Cup,280,15.0,9.0,0.0,100,180,30,0,30,7
95,Double Vanilla Cup,450,24.0,14.0,0.0,165,280,49,0,48,11
96,Single Vanilla & Chocolate Cup,290,17.0,10.0,0.0,105,150,31,0,29,6
97,Double Vanilla & Chocolate Cup,470,27.0,16.0,0.0,170,230,50,0,47,10
98,Single Chocolate Cone,360,20.0,11.0,0.5,110,180,42,0,33,7
99,Double Chocolate Cone,540,31.0,18.0,1.0,175,250,61,0,50,10
100,Single Vanilla Cone,330,15.0,9.0,0.0,100,230,41,0,33,7
101,Double Vanilla Cone,500,24.0,15.0,0.0,165,340,59,0,51,11
102,Single Vanilla & Chocolate Cone,340,17.0,10.0,0.0,105,200,41,0,33,7
103,Double Vanilla & Chocolate Cone,520,28.0,16.0,0.0,170,290,60,0,51,11
104,125th Street Treat,460,21.0,12.0,0.0,130,310,61,0,51,9
105,125th Street Treat (Double),930,41.0,24.0,0.0,265,610,122,1,102,18
106,24 Carrot Magic,480,27.0,14.0,0.5,150,200,55,0,44,9
107,24 Carrot Magic (Double),970,54.0,27.0,1.5,295,390,111,0,89,17
108,a la Rhode,410,20.0,12.0,0.0,120,340,52,0,48,8
109,a la Rohde (Double),820,40.0,25.0,0.0,240,680,102,1,94,16
110,A Sprinkle In Time,500,23.0,14.0,1.0,140,250,66,0,54,8
111,A Sprinkle In Time (Double),1000,46.0,27.0,1.5,280,500,132,0,108,17
112,All-In,520,27.0,17.0,0.0,140,480,61,0,58,8
113,All-In (Double),1030,55.0,34.0,0.5,280,960,122,0,115,16
114,Austin Street Treat,420,23.0,14.0,0.5,130,290,51,0,42,7
115,Austin Street Treat (Double),840,46.0,28.0,1.5,255,590,101,1,85,14
116,Back Bay Blend,560,33.0,21.0,1.0,150,410,64,0,58,7
117,Back Bay Blend (Double),1130,67.0,41.0,2.0,300,820,129,1,116,14
118,Banana Buyout,400,20.0,12.0,0.0,120,340,50,0,47,8
119,Banana Buyout (Double),800,40.0,25.0,0.0,240,680,99,0,93,16
120,Banana Caramel Crunch,420,19.0,11.0,0.0,120,390,48,0,46,8
121,Banana Caramel Crunch (Double),850,38.0,23.0,0.0,240,790,112,1,91,17
122,Banana Post Road,430,27.0,16.0,0.5,120,530,45,0,38,8
123,Banana Post Road (Double),860,54.0,33.0,1.5,240,1060,91,1,745,15
124,Bathazar Blender,560,30.0,18.0,0.0,150,440,64,0,51,10
125,Bathazar Blender (Double),1120,60.0,37.0,0.5,305,890,127,0,101,21
126,Bergen County Blend,420,22.0,13.0,0.0,130,250,48,0,40,9
127,Bergen County Blend (Double),850,44.0,27.0,0.0,255,500,96,1,80,18
128,Berry Blender,410,21.0,12.0,0.5,120,250,49,0,40,8
129,Berry Blender (Double),820,42.0,25.0,1.0,240,500,97,0,81,16
130,Beverly Chills,540,29.0,18.0,0.0,130,420,62,0,56,9
131,Beverly Chills (Double),1070,58.0,37.0,0.0,260,850,124,0,113,18
132,Birming Graham,460,20.0,11.0,0.0,130,250,62,0,50,9
133,Birming Graham (Double),920,40.0,22.0,0.0,265,510,123,1,101,17
134,Black & White Cookie,450,25.0,15.0,0.0,130,230,51,0,41,8
135,Black & White Cookie (Double),900,51.0,30.0,0.5,255,450,102,0,82,16
136,Blackout Cookie,530,30.0,14.0,0.5,120,210,62,0,46,8
137,Blackout Cookie (Double),1060,60.0,29.0,1.5,240,430,125,0,92,15
138,Brownie Points,540,28.0,15.0,1.0,135,490,64,0,57,10
139,Brownie Points (Double),1070,56.0,29.0,2.5,275,980,129,0,114,19
140,Buffalo Street Brownie,520,26.0,14.0,0.0,125,410,68,0,57,9
141,Buffalo Street Brownie (Double),1050,52.0,29.0,0.0,250,830,135,0,114,19
142,Burrowing Banana,400,23.0,14.0,0.5,130,270,48,0,41,7
143,Burrowing Banana (Double),790,48.0,28.0,1.5,255,530,91,1,81,13
144,Busy Bee,460,24.0,12.0,0.0,110,270,53,0,43,9
145,Busy Bee (Double),920,47.0,23.0,0.0,225,530,106,1,86,19
146,California Cold Rush,440,23.0,14.0,0.0,130,390,50,1,42,9
147,California Cold Rush (Double),880,46.0,28.0,0.0,255,780,100,1,85,17
148,Camden County Caramel,480,25.0,15.0,0.0,120,360,58,0,51,9
149,Camden County Caramel (Double),970,50.0,30.0,0.0,240,710,117,0,102,18
150,Campfire S'mores,560,31.0,18.0,0.5,120,200,66,0,50,9
151,Campfire S'mores (Double),1110,63.0,36.0,1.5,240,400,131,1,100,18
152,Caramel Aficiona-Dough,490,26.0,15.0,0.0,140,420,57,0,40,9
153,Caramel Aficiona-Dough (Double),980,52.0,30.0,0.0,275,840,114,0,79,18
154,Caramel Apple Fritter,540,29.0,16.0,0.0,120,510,62,0,43,10
155,Caramel Apple Fritter (Double),1090,57.0,32.0,0.0,240,1030,123,0,86,21
156,Caramel Bourbon Twist,460,24.0,15.0,0.0,130,400,54,0,51,8
157,Caramel Bourbon Twist (Double),920,49.0,30.0,0.0,260,800,108,0,102,16
158,Caramel Carousel,420,19.0,11.0,0.0,120,390,54,0,45,8
159,Caramel Carousel (Double),830,38.0,23.0,0.0,240,790,108,0,90,17
160,Caramel Cone,410,20.0,12.0,0.0,120,360,50,0,45,8
161,Caramel Cone (Double),810,40.0,25.0,0.0,240,720,101,0,90,16
162,Caramel Crumble,410,20.0,12.0,0.0,120,360,50,0,45,8
163,Caramel Crumble (Double),810,40.0,25.0,0.0,240,720,101,0,90,18
164,Caruso's Crunch,470,24.0,14.0,0.5,130,340,55,0,50,8
165,Caruso's Crunch (Double),930,48.0,27.0,1.5,265,690,109,0,101,16
166,Cary Cookie Crumble,460,22.0,11.0,0.0,110,260,57,0,49,9
167,Cary Cookie Crumble (Double),920,45.0,22.0,0.0,225,510,114,0,98,17
168,Central West Blend,550,26.0,15.0,0.0,155,620,71,0,61,10
169,Central West Blend (Double),1100,52.0,29.0,0.0,310,1240,141,0,122,19
170,"Choc 'n' Roll, Defend the Blend",550,30.0,18.0,0.5,135,430,68,0,58,8
171,"Choc 'n' Roll, Defend the Blend (Double)",1090,61.0,35.0,1.5,270,870,136,0,115,16
172,Choc heard Round the World,470,28.0,17.0,0.5,130,180,52,1,44,9
173,Choc Heard Round the World (Double),930,56.0,34.0,1.5,260,350,105,2,87,18
174,Choc of the Town,480,30.0,19.0,0.5,125,150,50,0,41,8
175,Choc of the Town (Double),960,61.0,37.0,1.5,250,310,99,1,82,16
176,Chocolate and Chip,570,35.0,17.0,1.0,130,310,59,0,45,8
177,Chocolate and Chip (Double),1150,71.0,34.0,1.5,265,620,119,0,90,16
178,Chocolate Caramel Crunchcrete,520,30.0,19.0,1.0,140,340,60,0,53,7
179,Chocolate Caramel Crunchcrete (Double),1040,61.0,37.0,1.5,280,690,120,0,107,15
180,Chocolate Caramel Pretzel,480,25.0,15.0,0.0,125,370,54,0,47,9
181,Chocolate Caramel Pretzel (Double),950,51.0,30.0,0.0,250,740,107,0,95,18
182,Chocolate Caramel Pretzel Crunch,510,30.0,18.0,0.5,135,310,55,0,47,8
183,Chocolate Caramel Pretzel Crunch (Double),1020,60.0,35.0,1.5,270,610,111,1,93,18
184,Chocolate Chip Cookie,600,37.0,22.0,0.5,150,370,66,0,43,9
185,Chocolate Chip Cookie (Double),1200,73.0,43.0,1.5,295,730,131,1,86,18
186,Chocolate Minted Marshmallow,430,24.0,14.0,0.5,125,150,53,0,46,7
187,Chocolate Minted Marshmallow (Double),860,48.0,29.0,1.5,350,300,105,0,92,15
188,Chocolate Thayer Cake,580,34.0,19.0,1.0,155,280,64,0,52,8
189,Chocolate Thayer Cake (Double),1160,68.0,38.0,1.5,305,560,129,0,104,17
190,Chocolate Truffle Cookie Cone,420,22.0,13.0,0.0,120,210,52,0,44,8
191,Chocolate Truffle Cookie Cone (Double),840,44.0,26.0,0.5,240,410,104,0,88,16
192,Churn of the Century,590,36.0,14.0,0.0,130,450,56,0,45,14
193,Churn of the Century (Double),1180,73.0,27.0,0.0,255,890,112,0,90,28
194,Coffee & Donuts,460,23.0,12.0,0.0,115,290,55,0,41,9
195,Coffee & Donuts (Double),920,45.0,23.0,0.0,225,580,111,0,83,19
196,Coffee Caramel Popcorn,410,20.0,12.0,0.0,120,400,47,0,43,10
197,Coffee Caramel Popcorn (Double),810,41.0,23.0,0.0,245,790,94,0,87,19
198,Coffee Toffee,450,22.0,14.0,0.0,120,270,56,0,42,8
199,Coffee Toffee (Double),900,45.0,28.0,0.0,245,540,113,0,105,18
200,cOLD Fashioned,490,25.0,14.0,0.0,120,460,57,0,47,9
201,cOLD Fashioned (Double),970,51.0,29.0,0.0,245,920,114,1,93,18
202,Cold Shot,550,30.0,18.0,0.5,145,490,66,0,61,7
203,Cold Shot (Double),1080,58.0,36.0,1.0,290,880,130,0,121,15
204,Coldspot,500,23.0,13.0,0.0,120,400,65,0,54,10
205,Coldspot (Double),1000,47.0,25.0,0.0,240,810,130,0,109,20
206,Colonial Custard,440,21.0,13.0,0.0,140,250,53,0,44,8
207,Colonial Custard (Double),870,43.0,26.0,0.0,280,500,106,0,88,17
208,Concrete of Troy,520,26.0,14.0,0.0,125,410,68,0,57,9
209,Concrete of Troy (Double),1050,52.0,29.0,0.0,250,830,135,0,114,19
210,Cookie & Coffee,450,24.0,15.0,0.0,125,350,52,0,43,9
211,Cookie & Coffee (Double),910,49.0,30.0,0.0,250,700,104,0,87,17
212,Cookie Butter Blender,570,32.0,18.0,0.0,135,370,63,0,57,9
213,Cookie Butter Blender (Double),1140,65.0,36.0,0.5,265,730,126,0,114,17
214,Cookie Butter Crunchcrete,530,32.0,18.0,1.0,130,230,56,0,48,8
215,Cookie Butter Crunchcrete (Double),1050,65.0,35.0,1.5,265,460,112,0,97,15
216,Cookie-Crumble,460,22.0,11.0,0.0,110,260,57,0,49,9
217,Cookie-Crumble (Double),920,45.0,22.0,0.0,225,510,114,0,98,17
218,Cookie Dough Country,500,31.0,16.0,0.5,125,270,51,0,41,10
219,Cookie Dough Country (Double),1000,63.0,31.0,1.5,250,540,102,0,81,20
220,Coral Crisp,500,22.0,13.0,0.0,120,470,72,0,57,9
221,Coral Crisp (Double),1000,43.0,26.0,0.0,240,940,144,0,114,18
222,Crimson Red Velvet,360,19.0,11.0,0.0,120,250,40,0,37,8
223,Crimson Red Velvet (Double),720,38.0,22.0,0.0,235,510,79,0,74,16
224,Cross County Crunch,520,29.0,18.0,0.0,130,420,60,0,54,9
225,Cross County Crunch (Double),1040,58.0,36.0,0.0,260,830,118,0,108,18
226,Crunch Time,470,22.0,13.0,0.0,120,350,59,0,53,9
227,Crunch Time (Double),930,44.0,26.0,0.0,240,710,119,0,106,17
228,Crunch-stellation,470,24.0,15.0,0.0,125,290,57,0,52,9
